地铁口 精装 全明通透 高得房率 南北双阳台 换房急售 2室2厅 | 90.76㎡ | 低层 （共11层） | 东南向 | 2009年建 | 孔倩 大地伊丽雅特湾 迈皋桥-和燕路329号 满五 优质教育 距1号线晓庄站约933米 185 万 20383元/㎡
保利·国贸璟上 3室2厅2卫 精装修 258万元 3室2厅 | 99.23㎡ | 中层 （共23层） | 南北向 | 2023年建 | 李小朋 保利·国贸璟上 迈皋桥-南京市栖霞区和燕路与宜春街交汇处 距1号线晓庄站约769米 258 万 26000元/㎡
特价 仙林 · 新城尚东花园 · 3室 · 1厅 双重验真 官方发布 房天下房源字典核验 3室1厅 | 71.69㎡ | 顶层 （共5层） | 南北向 | 2007年建 | 余莉莉 尚东花园 仙林-仙林大道118号 满五 距2号线仙林中心站约824米 185 万 25805元/㎡ 低于市场价48万
人气 华侨城翡翠天域 开发商售楼中心 内部优惠额外折扣可谈 3室2厅 | 89㎡ | 高层 （共18层） | 南北向 | 2020年建 | 段伟成 华侨城翡翠天域 栖霞-工农路与疏港大道交汇处 满二 108 万 12134元/㎡
人气 买房住的是宽心、也要放心,这个选择我推荐、你还在犹豫什么呢? 3室2厅 | 117.38㎡ | 中层 （共11层） | 南北向 | 2000年建 | 邓婷婷 高科荣境 仙林-守敬路313号(仙林大道与经天路交汇处) 满五 优质教育 距2号线经天路站约819米 450 万 38337元/㎡
特价 仙林湖 · 保利罗兰春天 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 95.65㎡ | 高层 （共27层） | 南向 | 2015年建 | 张月红 保利罗兰春天 仙林-学森路199号 满五 优质教育 218 万 22791元/㎡ 低于市场价37万
热搜 人气 马群中垠紫金观邸 精装修大三房 交通方便 配套齐 3室2厅 | 112.26㎡ | 中层 （共13层） | 南向 | 2018年建 | 易功瑞 中垠紫金观邸 马群-马群环陵路99号(马群综合换乘中心) 满五唯一 满二 距2号线马群站约365米 230 万 20488元/㎡
锦麟融誉府 次新房 精装 满二 4室2厅 | 129.48㎡ | 高层 （共26层） | 南北向 | 2021年建 | 凌晓伟 锦麟融誉府 迈皋桥-北苑东路与熙湲路交汇处 满二 距1号线晓庄站约1109米 360 万 27803元/㎡
热搜 人气 新特价金浦御龙湾 城北正核 配套成熟 晓庄口 性价比 3室2厅 | 87㎡ | 高层 （共30层） | 南北向 | 2023年建 | 姚丽丽 金浦御龙湾 迈皋桥-金浦御龙湾 距1号线晓庄站约644米 200 万 22988元/㎡
7号线地铁口400米【高科紫尧星院】精装现房98-143平 3室2厅 | 98㎡ | 高层 （共20层） | 南向 | 2023年建 | 李小朋 赞成佳邻美居 尧化-尧新大道11号 优质教育 距7号线尧化新村站约419米 189 万 19285元/㎡
真房源!栖霞兴智刚需板块 尧化门地铁300米精装修三房! 3室2厅 | 109㎡ | 低层 （共26层） | 南向 | 2020年建 | 段伟成 苏宁世茂·璀璨云著 栖霞-兴智科创新城兴智路与恒久路交汇处 满二 205 万 18807元/㎡
买的就是,图的就是省心,好房子,好价格 4室2厅 | 96.58㎡ | 低层 （共27层） | 南向 | 2000年建 | 邓婷婷 金地湖城艺境 仙林-栖霞守敬路与纬地路交汇口 满五 优质教育 268 万 27749元/㎡
特价 高科荣境 改善热门户型178平 大四房 总价低 诚心卖有钥匙 双重验真 官方发布 房天下房源字典核验 4室2厅 | 177.04㎡ | 中层 （共11层） | 南北向 | 2014年建 | 张月红 高科荣境 仙林-守敬路313号(仙林大道与经天路交汇处) 满五 优质教育 距2号线经天路站约819米 588 万 33212元/㎡ 低于市场价101万
特价 仙林 · 中天铭廷 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 96.1㎡ | 顶层 （共18层） | 南北向 | 2016年建 | 孟全 中天铭廷 仙林-文成路3号(学海路和文成路交汇处) 满五 229 万 23829元/㎡ 低于市场价37万
洋房 开发商精装修空调地暖新风 次新房 边户阳台已封 3室2厅 | 122.3㎡ | 高层 （共12层） | 南北向 | 2018年建 | 邓婷婷 融信世纪东方 仙林-经天路与广志路交汇处(南京大学仙林分校旁) 满二 距2号线经天路站约1057米 340 万 27800元/㎡
新城香悦澜山 总高11层电梯低密度新空洋房 四叶草户型 急售 4室2厅 | 120.17㎡ | 低层 （共11层） | 南向 | 2000年建 | 邓婷婷 新城香悦澜山 仙林-仙林经天路与纬地路交汇处 满五 优质教育 距2号线经天路站约1158米 340 万 28293元/㎡
热搜 人气 迈皋桥 双地铁 金浦御龙湾F 大3房采光无遮挡 性价比抄底价 3室2厅 | 105.67㎡ | 高层 （共33层） | 南北向 | 2021年建 | 钱俊马 金浦御龙湾 迈皋桥-金浦御龙湾 距1号线晓庄站约644米 243 万 22996元/㎡
高科紫微堂 让您享受大自然的宁静!手慢无! 4室2厅 | 152.78㎡ | 底层 （共4层） | 南北向 | 2000年建 | 邓婷婷 高科紫微堂 仙林-仙林大道与经天路交汇处(经天路地铁站南侧) 满五 920 万 60217元/㎡
热搜 人气 迈皋桥 地铁口 金浦御龙湾G区 花园小区住宅 品质生活 3室2厅 | 89㎡ | 低层 （共32层） | 南向 | 2017年建 | 钱俊马 金浦御龙湾 迈皋桥-金浦御龙湾 距1号线晓庄站约644米 185 万 20786元/㎡
金尧华府85平2房 看房方便 精装修拎包住 2室1厅 | 85.78㎡ | 低层 （共18层） | 南向 | 吴彩娣 金尧华府 尧化-栖霞尧化街道尧辰社区尧佳路28-18号 满五 距7号线尧化门站约352米 142 万 16553元/㎡
特价 热搜 人气 仙林 · 东方天郡东区 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 115.96㎡ | 高层 （共15层） | 南北向 | 2007年建 | 孟全 东方天郡 仙林-仙林大学城杉湖西路8号 满五 优质教育 距2号线学则路站约582米 299 万 25784元/㎡ 低于市场价75万
雁鸣山庄,朝南单室套,满五年,诚心急卖,一楼带院子 双重验真 官方发布 房天下房源字典核验 1室0厅 | 19.37㎡ | 底层 （共5层） | 南向 | 2002年建 | 孟全 雁鸣山庄 仙鹤门-仙隐北路8号 满五 优质教育 62 万 32008元/㎡
特价 经典好房子,全明户型,视野开阔,包您喜欢哟! 3室1厅 | 110.5㎡ | 顶层 （共26层） | 南向 | 2000年建 | 夏菊 锦麟融誉府 迈皋桥-北苑东路与熙湲路交汇处 满五 距1号线晓庄站约1109米 380 万 34389元/㎡ 低于市场价28万
特价 人气 仙林湖 · 高科荣境二期 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 117.54㎡ | 低层 （共11层） | 南北向 | 2015年建 | 余莉莉 高科荣境 仙林-守敬路313号(仙林大道与经天路交汇处) 满五 优质教育 距2号线经天路站约819米 450 万 38284元/㎡ 低于市场价24万
特价 人气 报价可谈!城北燕子矶,中海燕矶听潮,精装修,南师學区 3室2厅 | 101.55㎡ | 中层 （共32层） | 南北向 | 2018年建 | 姜成 中海燕矶听潮 燕子矶-燕子矶新城经五路与太新路交汇处 满二 距1号线笆斗山站约1061米 280 万 27572元/㎡ 低于市场价28万
特价 仙林湖·新城璞樾和山(住宅)·4室·2厅 双重验真 官方发布 房天下房源字典核验 4室2厅 | 169.71㎡ | 高层 （共6层） | 南向 | 2017年建 | 余莉莉 新城璞樾和山 仙林-现状道路与煤干石山、国有土地交汇处 满二 距2号线经天路站约668米 568 万 33468元/㎡ 低于市场价35万
南北朝向通风好,小区中间位置,前方基本无遮挡 急售 5室2厅 | 194.33㎡ | 高层 （共11层） | 南北向 | 2020年建 | 孔倩 金浦御龙湾 迈皋桥-金浦御龙湾 满二 距1号线晓庄站约644米 539 万 27736元/㎡
仙鹤门 · 保利紫晶山 · 4室 · 2厅 双重验真 官方发布 房天下房源字典核验 4室2厅 | 168.37㎡ | 中层 （共6层） | 南北向 | 2013年建 | 李雪 保利紫晶山 仙鹤门-栖霞区马群大庄6号 满五 优质教育 距2号线仙鹤门站约444米 650 万 38605元/㎡
中间楼层 紧邻地铁1号线 采光无敌 阅江花苑 2室2厅 | 84.33㎡ | 中层 （共6层） | 南向 | 2000年建 | 夏菊 阅江花苑 和燕路-吉祥村139号 满五 优质教育 距1号线吉祥庵站约523米 168 万 19921元/㎡
新特价房89平,245W起板块小户型仙林湖泷悦雅颂 3室2厅 | 113㎡ | 低层 （共26层） | 南向 | 2024年建 | 姚丽丽 泷悦雅颂 仙林湖-东至现状,南至现状,西至白象路,北至广志路 距4号线仙林湖站约232米 296 万 26194元/㎡
特价房金中金小 2号线 4号线 万达茂 仙林 中式精装 3室2厅 | 99㎡ | 低层 （共25层） | 南向 | 2019年建 | 尹伟 兰亭和颂 迈皋桥-兰亭和颂 距4号线仙林湖站约423米 238 万 24040元/㎡
震撼价方圆绿茵,精装新房卖毛坯价,要买快来看 3室2厅 | 103.84㎡ | 底层 （共5层） | 南北向 | 2000年建 | 凌晓伟 方圆绿茵 迈皋桥-华电路长营村99号 满五 优质教育 距1号线迈皋桥站约888米 198 万 19067元/㎡
地铁口 新空毛坯 全明通透 高得房率 换房降价急售急 3室2厅 | 99.01㎡ | 中层 （共32层） | 南北向 | 2020年建 | 孔倩 电建地产海赋尚城 晓庄-燕子矶街道经五路与神农路交汇处 满二 206 万 20805元/㎡
热搜 人气 超笋!做了10年房产 这样的房子 就这次有这样的低价 3室3厅 | 199.03㎡ | 低层 （共12层） | 南北向 | 2000年建 | 夏菊 金浦御龙湾 迈皋桥-金浦御龙湾 满五 距1号线晓庄站约644米 599 万 30095元/㎡
7号线地铁【高科紫尧星院】开发商售楼中心,精装现房98-14 3室2厅 | 98㎡ | 高层 （共20层） | 南向 | 2023年建 | 段伟成 上铁月桂园 尧化-栖霞区尧和西路2号 距7号线尧化新村站约936米 190 万 19387元/㎡
人气 新房开发商工抵房紫金山东 天泓山庄云山苑 未入住,新房 3室2厅 | 147㎡ | 中层 （共17层） | 南向 | 2018年建 | 姚丽丽 天泓山庄 马群-环陵路1号 满二 优质教育 距2号线马群站约886米 350 万 23809元/㎡
边套全明 中间楼层 采光通风好 高得房率 全明通透 4室2厅 | 194.69㎡ | 中层 （共25层） | 南北向 | 2022年建 | 孔倩 锦麟融誉府 迈皋桥-北苑东路与熙湲路交汇处 满二 距1号线晓庄站约1109米 605 万 31075元/㎡
仙林湖 · 万科金色领域 小区中间楼king双阳台视野好 双重验真 官方发布 房天下房源字典核验 3室2厅 | 113.77㎡ | 高层 （共18层） | 南向 | 2013年建 | 孟全 万科金色领域 仙林-栖霞区守敬路1号 满五 优质教育 299 万 26281元/㎡
来电咨询折扣!栖霞兴智6号线地铁口精装三房 都会峯范 3室2厅 | 110㎡ | 中层 （共25层） | 南北向 | 2023年建 | 廖斯敏 金地都会峯范 万寿-金地都会峯范 220 万 20000元/㎡
特价 弘阳燕江府,特棒的房子,这就是需要你的留意! 3室2厅 | 110.2㎡ | 高层 （共32层） | 南北向 | 2000年建 | 黄朋飞 弘阳燕江府 燕子矶-太新路与嵩山路交汇处 满五 距1号线笆斗山站约606米 265 万 24047元/㎡ 低于市场价19万
特价 人气 中海燕矶听潮C区不需要华丽的词汇,好房子一看就知道了 3室1厅 | 100.13㎡ | 中层 （共33层） | 南北向 | 2019年建 | 凌晓伟 中海燕矶听潮 燕子矶-燕子矶新城经五路与太新路交汇处 满二 距1号线笆斗山站约1061米 280 万 27963元/㎡ 低于市场价23万
特价 人气 保利国际社区 90.93平3居 南向精装修 方便看房 3室1厅 | 90.93㎡ | 中层 （共33层） | 南向 | 2018年建 | 黄朋飞 保利国际社区 燕子矶-燕子矶街道太新路与燕园路交汇处 满二 距1号线笆斗山站约506米 230 万 25294元/㎡ 低于市场价27万
经典 尽享欢乐生活 3室2厅 | 115.96㎡ | 高层 （共33层） | 南北向 | 2000年建 | 黄朋飞 保利朗诗蔚蓝 迈皋桥-保利朗诗蔚蓝 满五 距1号线晓庄站约582米 308 万 26560元/㎡
急急一楼带院子 送产权车位 晓庄 地铁1 7号线 紫金铭苑 2室2厅 | 74.44㎡ | 低层 （共8层） | 南北向 | 2018年建 | 夏菊 紫金铭苑 迈皋桥-幕府东路与和燕路交汇处 满五 距7号线幕府山站约1146米 198 万 26598元/㎡
特价 一个露台能放下一张麻将桌,畅享悠闲生活 猛戳这里 4室2厅 | 128.19㎡ | 中层 （共33层） | 南向 | 2000年建 | 黄朋飞 中海燕矶听潮 燕子矶-燕子矶新城经五路与太新路交汇处 满五 距1号线笆斗山站约1061米 364 万 28395元/㎡ 低于市场价23万
特价 在寂静中品味,在喧闹中生活,此房深情并茂!!潜力低价 3室2厅 | 78.7㎡ | 低层 （共32层） | 南北向 | 2000年建 | 王彩丽 金浦紫御东方 晓庄-经五路与太新路交汇处 满五 距1号线笆斗山站约811米 199.9 万 25400元/㎡ 低于市场价28万
特价 仙林 · 栖园北区 · 4室 · 2厅 双重验真 官方发布 房天下房源字典核验 4室2厅 | 218.26㎡ | 底层 （共4层） | 南北向 | 2008年建 | 余莉莉 栖园小区 仙林-栖霞区仙林杉湖东路18号 满五 距2号线羊山公园站约543米 1100 万 50398元/㎡ 低于市场价120万
马群站天悦花园 婚装双南两室 楼层好 业主诚售 2室1厅 | 54.36㎡ | 中层 （共6层） | 南北向 | 2003年建 | 易功瑞 天悦花园 马群-马群新街89-1号 满五唯一 优质教育 距2号线马群站约504米 80 万 14716元/㎡
地铁口 精装 全明通透 双阳台 精装交付 换房急售 急售 3室2厅 | 110.2㎡ | 高层 （共32层） | 南北向 | 2020年建 | 孔倩 弘阳燕江府 燕子矶-太新路与嵩山路交汇处 满二 距1号线笆斗山站约606米 249 万 22595元/㎡
新一口价仙林湖 万达茂旁 电建建发兰亭和颂 金小 金中 3室2厅 | 99㎡ | 低层 （共26层） | 南向 | 2023年建 | 姚丽丽 兰亭和颂 迈皋桥-兰亭和颂 距4号线仙林湖站约423米 278.5 万 28131元/㎡
香溪月园四室二厅,纯毛坯。大院子300平 双重验真 官方发布 房天下房源字典核验 4室2厅 | 198㎡ | 底层 （共2层） | 南北向 | 2003年建 | 孟全 香溪月圆 仙鹤门-文枢西路6号 满五 距2号线仙鹤门站约1009米 1180 万 59595元/㎡
仙林金鹰旁亚东城居家单室套楼层好位置佳看房方便 双重验真 官方发布 房天下房源字典核验 1室1厅 | 58.93㎡ | 中层 （共17层） | 南北向 | 2009年建 | 孟全 亚东城 仙鹤门-栖霞区仙隐北路18号 满五 距2号线仙鹤门站约770米 170 万 28847元/㎡
保利·国贸璟上 3室2厅1卫 精装修 240万元 3室2厅 | 89.33㎡ | 中层 （共23层） | 南北向 | 2021年建 | 尹伟 保利·国贸璟上 迈皋桥-南京市栖霞区和燕路与宜春街交汇处 满二 距1号线晓庄站约769米 240 万 26866元/㎡
地铁口 万象天地 低密度 精装 全明通透 换房急售急售 4室2厅 | 124.02㎡ | 低层 （共10层） | 南北向 | 2022年建 | 孔倩 万象天地·九悦 迈皋桥-燕子矶新城栖霞大道与经五路交汇处 满二 距7号线万寿站约557米 405 万 32656元/㎡
人气 新房开发商工抵房紫金山东 天泓山庄云山苑 未入住,新房 3室2厅 | 150㎡ | 中层 （共17层） | 南向 | 2018年建 | 姚丽丽 天泓山庄 马群-环陵路1号 满二 优质教育 距2号线马群站约886米 400 万 26666元/㎡
特价 仙鹤门 · 新城璞樾钟山 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 167.36㎡ | 高层 （共8层） | 南向 | 2019年建 | 孟全 新城璞樾钟山 仙鹤门-奔马路与石狮路交汇处 满二 距2号线金马路站约454米 705 万 42124元/㎡ 低于市场价64万
栖霞马群 地铁口 新房 总价低 3室2厅 | 89㎡ | 低层 （共11层） | 南向 | 吴苑 润栖府 马群-南京市栖霞区宁芝路与美芝嘉路交汇处 距s6号线百水桥站约514米 240 万 26966元/㎡
正南 高科荣境 4室2厅 精装修 双重验真 官方发布 房天下房源字典核验 4室2厅 | 140㎡ | 高层 （共11层） | 南向 | 2020年建 | 甘苏 高科荣境 仙林-守敬路313号(仙林大道与经天路交汇处) 满二 优质教育 距2号线经天路站约819米 590 万 42142元/㎡
仙林金陵家天下4室2厅 双重验真 官方发布 房天下房源字典核验 独栋 | 卧室：4个 | 无花园 | 218.17㎡ | 南向 | 孟全 金陵家天下别墅 仙鹤门-栖霞仙林金陵家天下别墅 满五 990 万 45377元/㎡
特价 人气 马群 天泓山庄云山苑 紫金山下 有钥匙 随时看房 大平层 3室2厅 | 149.22㎡ | 中层 （共16层） | 南北向 | 2019年建 | 张磊 天泓山庄 马群-环陵路1号 满二 优质教育 距2号线马群站约886米 430 万 28816元/㎡ 低于市场价35万
特价 仙林新村新出两室二厅对面仙林菜场,晴天美食广场, 双重验真 官方发布 房天下房源字典核验 2室1厅 | 54.13㎡ | 顶层 （共6层） | 南向 | 1998年建 | 孟全 仙林新村 仙林-栖霞区文枢东路和学衡路交叉口向南100米 满五 优质教育 距2号线学则路站约833米 125 万 23092元/㎡ 低于市场价8万
人气 天泓山庄云山苑 电梯房 简单装修 诚心出售 随时看房 3室2厅 | 142.25㎡ | 高层 （共17层） | 南向 | 2018年建 | 张磊 天泓山庄 马群-环陵路1号 满二 优质教育 距2号线马群站约886米 313 万 22003元/㎡
特价 亚东城西区、中间楼层采光好朝南双阳台诚心出售、有钥匙看房方便 双重验真 官方发布 房天下房源字典核验 1室1厅 | 51.16㎡ | 高层 （共19层） | 南向 | 2009年建 | 孟全 亚东城 仙鹤门-栖霞区仙隐北路18号 满五 距2号线仙鹤门站约770米 126 万 24628元/㎡ 低于市场价24万
